channel,source_profile,source_category,films_covered,items_tracked,full_videos,shorts,review_discussion_items,context_items,review_share_pct,stored_comments,useful_comments,useful_share_pct,questions,public_comments,views,comments_per_item,tracker_value
FrameFlix,FrameFlix,open_youtube,1,1,1,0,1,0,100.0,0,0,0.0,0,0,905,0.0,5.0
Gem Cinemas,Gem Cinemas,open_youtube,1,1,1,0,1,0,100.0,0,0,0.0,0,0,103,0.0,5.0
Kino Updates,Kino Updates,open_youtube,1,1,1,0,1,0,100.0,0,0,0.0,0,0,50,0.0,5.0
New Cinema Tv,New Cinema Tv,open_youtube,1,1,1,0,1,0,100.0,0,0,0.0,0,0,1410,0.0,5.0
New Filmalaya,New Filmalaya,open_youtube,1,1,1,0,1,0,100.0,0,0,0.0,0,0,57,0.0,5.0
OH CINEMA,OH CINEMA,open_youtube,1,1,1,0,1,0,100.0,0,0,0.0,0,0,1282,0.0,5.0
PEGXON REVIEW,PEGXON REVIEW,open_youtube,1,1,1,0,1,0,100.0,0,0,0.0,0,0,1197,0.0,5.0
People Cinema,People Cinema,open_youtube,1,1,1,0,1,0,100.0,0,0,0.0,0,0,234,0.0,5.0
Review with Ankit ,Review with Ankit ,open_youtube,1,1,1,0,1,0,100.0,0,0,0.0,0,0,9,0.0,5.0
S2 TALKIES,S2 TALKIES,open_youtube,1,1,1,0,1,0,100.0,0,0,0.0,0,0,1673,0.0,5.0
Sasi_edits,Sasi_edits,open_youtube,1,1,1,0,1,0,100.0,0,0,0.0,0,0,10,0.0,5.0
Tamilanda ks settu,Tamilanda ks settu,open_youtube,1,1,1,0,1,0,100.0,0,0,0.0,0,0,1564,0.0,5.0
Tamzihan Frames,Tamzihan Frames,open_youtube,1,1,1,0,1,0,100.0,0,0,0.0,0,0,117,0.0,5.0
They Famous,They Famous,open_youtube,1,1,1,0,1,0,100.0,0,0,0.0,0,0,14,0.0,5.0
This Is MADRAS,This Is MADRAS,open_youtube,1,1,1,0,1,0,100.0,0,0,0.0,0,0,175,0.0,5.0
Tiruvannamalai Times,Tiruvannamalai Times,open_youtube,1,1,1,0,1,0,100.0,0,0,0.0,0,0,2005,0.0,5.0
Udaya Jwala Telugu vlogs,Udaya Jwala Telugu vlogs,open_youtube,1,1,1,0,1,0,100.0,0,0,0.0,0,0,866,0.0,5.0
VJ Vlogscity,VJ Vlogscity,open_youtube,1,1,1,0,1,0,100.0,0,0,0.0,0,0,60,0.0,5.0
VJ. Saran Review ,VJ. Saran Review ,open_youtube,1,1,1,0,1,0,100.0,0,0,0.0,0,0,27,0.0,5.0
Vadachennai Talkies,Vadachennai Talkies,open_youtube,1,1,1,0,1,0,100.0,0,0,0.0,0,0,41,0.0,5.0
Weekly Voice Official,Weekly Voice Official,open_youtube,1,1,1,0,1,0,100.0,0,0,0.0,0,0,12,0.0,5.0
voicetalktamil,voicetalktamil,open_youtube,1,1,1,0,1,0,100.0,0,0,0.0,0,0,34,0.0,5.0
Sun News,Sun News,open_youtube,1,1,1,0,0,1,0.0,1,1,100.0,1,3,2654,3.0,4.54
World Cinema Vibes,World Cinema Vibes,open_youtube,1,1,1,0,0,1,0.0,13,8,61.5,0,17,13852,17.0,3.99
VmrTalks,VmrTalks,open_youtube,1,1,1,0,0,1,0.0,2,1,50.0,0,2,597,2.0,3.53
Fine Time Cine,Fine Time Cine,open_youtube,2,2,2,0,0,2,0.0,1,0,0.0,0,1,264,0.5,3.51
Andhimazhaimass,Andhimazhaimass,open_youtube,1,1,1,0,0,1,0.0,0,0,0.0,0,0,317,0.0,2.5
Chennai Waalaa,Chennai Waalaa,open_youtube,1,1,1,0,0,1,0.0,0,0,0.0,0,0,796,0.0,2.5
Newston Media,Newston Media,open_youtube,1,1,1,0,0,1,0.0,0,0,0.0,0,0,375,0.0,2.5
